,playerID,Name,MainPos,NamePos,GameCount
0,alcanar01,Arismendy Alcantara,cf,Arismendy Alcantara (cf),0.0
2,baezja01,Javier Baez,2b,Javier Baez (2b),0.0
3,baxtemi01,Mike Baxter,rf,Mike Baxter (rf),47.0
5,berryqu01,Quintin Berry,lf,Quintin Berry (lf),34.0
6,bryankr01,Kris Bryant,3b,Kris Bryant (3b),151.0
8,castiwe01,Welington Castillo,c,Welington Castillo (c),34.0
9,castrst01,Starlin Castro,ss,Starlin Castro (ss),151.0
10,coghlch01,Chris Coghlan,lf,Chris Coghlan (lf),98.0
12,denorch01,Chris Denorfia,rf,Chris Denorfia (rf),130.0
14,fowlede01,Dexter Fowler,cf,Dexter Fowler (cf),80.0
20,herrejo03,Jonathan Herrera,2b,Jonathan Herrera (2b),0.0
22,jacksau01,Austin Jackson,cf,Austin Jackson (cf),151.0
24,lakeju01,Junior Lake,lf,Junior Lake (lf),0.0
25,lasteto01,Tommy La Stella,2b,Tommy La Stella (2b),69.0
28,montemi01,Miguel Montero,c,Miguel Montero (c),140.0
30,oltmi01,Mike Olt,3b,Mike Olt (3b),24.0
33,rizzoan01,Anthony Rizzo,1b,Anthony Rizzo (1b),131.0
38,rossda01,David Ross,c,David Ross (c),57.0
39,russead02,Addison Russell,2b,Addison Russell (2b),151.0
42,schwaky01,Kyle Schwarber,lf,Kyle Schwarber (lf),75.0
43,solerjo01,Jorge Soler,rf,Jorge Soler (rf),54.0
46,szczuma01,Matt Szczur,lf,Matt Szczur (lf),0.0
47,teagata01,Taylor Teagarden,c,Taylor Teagarden (c),0.0
1,arrieja01,Jake Arrieta,p,Jake Arrieta (p),24.0
17,hammeja01,Jason Hammel,p,Jason Hammel (p),24.0
18,harenda01,Dan Haren,p,Dan Haren (p),28.0
19,hendrky01,Kyle Hendricks,p,Kyle Hendricks (p),24.0
23,jacksed01,Edwin Jackson,p,Edwin Jackson (p),25.0
26,lestejo01,Jon Lester,p,Jon Lester (p),28.0
49,woodtr01,Travis Wood,p,Travis Wood (p),9.0
4,beeleda01,Dallas Beeler,p,Dallas Beeler (p),9.0
7,cahiltr01,Trevor Cahill,p,Trevor Cahill (p),0.0
11,cokeph01,Phil Coke,p,Phil Coke (p),0.0
13,edwarca01,Carl Edwards Jr.,p,Carl Edwards Jr. (p),0.0
15,germego01,Gonzalez Germen,p,Gonzalez Germen (p),0.0
16,grimmju01,Justin Grimm,p,Justin Grimm (p),32.0
21,hunteto02,Tommy Hunter,p,Tommy Hunter (p),0.0
27,medinyo01,Yoervis Medina,p,Yoervis Medina (p),0.0
29,motteja01,Jason Motte,p,Jason Motte (p),26.0
31,ramirne01,Neil Ramirez,p,Neil Ramirez (p),22.0
32,richacl01,Clayton Richard,p,Clayton Richard (p),0.0
34,roachdo01,Donn Roach,p,Donn Roach (p),0.0
35,rodnefe01,Fernando Rodney,p,Fernando Rodney (p),0.0
36,rondohe01,Hector Rondon,p,Hector Rondon (p),31.0
37,rosscza01,Zac Rosscup,p,Zac Rosscup (p),0.0
40,russeja02,James Russell,p,James Russell (p),0.0
41,schlibr01,Brian Schlitter,p,Brian Schlitter (p),0.0
44,soriara01,Rafael Soriano,p,Rafael Soriano (p),0.0
45,stroppe01,Pedro Strop,p,Pedro Strop (p),30.0
48,wadats01,Tsuyoshi Wada,p,Tsuyoshi Wada (p),27.0
